OrthoRecord,Token,Normalized,Status,Comments
urn:cite:hmt:normalized.37,καθ,καθ᾽,rejected,
urn:cite:hmt:normalized.333,κατ,κατ᾽,rejected,
urn:cite:hmt:normalized.157,κλαῖ᾽,κλαῖεν,rejected,
urn:cite:hmt:normalized.249,κλαῖ᾽,κλαῖεν,rejected,
urn:cite:hmt:normalized.1467,μ,μ᾽,rejected,
urn:cite:hmt:normalized.1039,μέγ,μέγ᾽,rejected,
urn:cite:hmt:normalized.1199,μεθ,μεθ᾽,rejected,
urn:cite:hmt:normalized.1161,μετ,μετ᾽,rejected,
urn:cite:hmt:normalized.784,μηδ`᾽,μηδ᾽,rejected,
urn:cite:hmt:normalized.1555,νείκε,νείκε᾽,rejected,
urn:cite:hmt:normalized.2819,οιηθεῖς,οἰηθεῖς,rejected,
urn:cite:hmt:normalized.848,ὁπότ,ὁπότ᾽,rejected,
urn:cite:hmt:normalized.890,ὁππότ,ὁππότ᾽,rejected,
urn:cite:hmt:normalized.175,ὁππότ᾽,ὁππότ᾽,rejected,
urn:cite:hmt:normalized.267,ὁππότ᾽,ὁππότ᾽,rejected,
urn:cite:hmt:normalized.453,ὅτ,ὅτ᾽,rejected,
urn:cite:hmt:normalized.85,ὅτ,ὅτ᾽,rejected,
urn:cite:hmt:normalized.113,οὐδ᾽,οὐδέ,rejected,
urn:cite:hmt:normalized.205,οὐδ᾽,οὐδέ,rejected,
urn:cite:hmt:normalized.1365,οὐδ,οὐδ᾽,rejected,
urn:cite:hmt:normalized.1364,ουδ,οὐδ᾽,rejected,
urn:cite:hmt:normalized.1605,οὐδ`᾽,οὐδ᾽,rejected,
urn:cite:hmt:normalized.1242,οὔνεκ᾽,οὕνεκ᾽,rejected,
urn:cite:hmt:normalized.1653,οὐτ,οὐτ᾽,rejected,
urn:cite:hmt:normalized.1610,πάντος,πάντοσ᾽,rejected,
urn:cite:hmt:normalized.517,παρ,παρ᾽,rejected,
urn:cite:hmt:normalized.834,παρ,παρ᾽,rejected,
urn:cite:hmt:normalized.82,πολλ̀᾽,πολλ᾽,rejected,
urn:cite:hmt:normalized.688,πολλ`᾽,πολλ᾽,rejected,
urn:cite:hmt:normalized.1491,σ,σ᾽,rejected,
urn:cite:hmt:normalized.350,τ,τ᾽,rejected,
urn:cite:hmt:normalized.713,τεύχε,τεύχε᾽,rejected,
urn:cite:hmt:normalized.1525,τευχε᾽,τεύχε᾽,rejected,
urn:cite:hmt:normalized.174,τῆ᾽,τῆ᾽,rejected,
urn:cite:hmt:normalized.266,τῆ᾽,τῆ᾽,rejected,
urn:cite:hmt:normalized.421,τονδ`᾽,τόνδ᾽,rejected,
urn:cite:hmt:normalized.853,τὸνδ`᾽,τὸνδ᾽,rejected,
